Response ID;"In a scale from 0 to 10, where 0 indicates ""Far Left"" and 10 indicates ""Far Right"", where would you place yourself in terms of political ideology support?";Select from of the following ethnicities, the one with which you identify yourself most ;Select from the following age ranges, the one in which you are located;Generally speaking, do you usually think of yourself as a Republican, a Democrat, an Independent, or something else? ;In general terms: How interested in politics are you? ;What is your gender?;What is the highest level of school you have completed?
;;;;;;;
33790060;2;1;2;2;4;1;5
33790382;1;1;3;2;3;1;5
33791242;9;3;2;1;3;1;5
33791627;6;1;2;3;1;1;3
33792146;6;1;2;3;2;1;3
33795172;6;1;2;3;2;1;4
33795284;2;4;2;2;3;1;5
33795416;10;1;5;1;4;2;5
33797734;2;1;3;2;5;1;6
33797781;5;1;3;3;3;1;4
33797811;5;4;3;3;1;2;5
33797855;3;1;3;2;2;1;5
33797875;5;1;4;2;2;2;2
33797878;2;1;2;2;5;2;5
33797884;2;1;3;2;4;2;4
33797899;4;1;2;3;3;1;5
33797902;7;1;2;2;3;1;4
33797996;1;1;3;2;4;2;4
33798030;3;1;3;2;4;1;5
33798040;5;1;2;2;1;1;5
33798081;4;1;2;2;2;1;5
33798089;1;1;2;2;1;1;5
33798269;8;1;2;1;3;1;3
33798304;1;1;3;2;5;2;5
33798332;1;1;2;2;4;1;5
33798345;1;1;2;2;5;1;5
33798519;6;1;3;3;4;1;5
33798542;7;1;3;1;4;1;5
33798561;3;1;3;2;4;1;5
33798596;6;1;2;3;4;1;3
33798599;5;4;3;2;3;2;5
33798636;1;2;3;2;3;1;4
33798686;5;3;2;2;2;1;5
33798697;4;1;3;2;3;1;3
33798988;10;1;3;1;2;2;5
33799225;7;1;2;1;3;1;5
33799227;1;1;3;2;5;2;6
33799280;3;1;2;2;2;1;5
33799341;3;2;4;2;4;2;5
33799363;4;1;5;2;5;2;3
33799471;7;1;3;4;2;2;5
33799640;5;3;3;3;3;1;4
33799665;1;1;2;2;4;1;4
33799824;4;1;3;3;3;1;5
33799882;2;1;2;2;2;2;5
33799925;8;1;2;3;2;1;5
33800208;6;1;3;3;5;1;6
33800273;6;4;2;2;3;1;5
33800484;8;3;3;1;5;2;5
33800495;4;1;5;2;4;2;2
33800677;9;1;4;1;3;1;3
33800720;5;1;6;2;3;2;4
33800941;9;4;3;1;4;1;4
33801186;10;2;5;1;5;2;5
33801291;5;1;4;2;4;1;5
33801374;4;1;4;3;4;1;4
33801718;8;1;4;1;4;1;5
33802446;5;1;3;2;3;1;4
33802561;2;4;3;2;2;1;3
33802586;6;1;4;3;4;2;5
33803403;6;1;3;3;3;2;5
33803819;6;2;3;3;2;1;3
33804049;11;1;2;1;5;1;5
33804359;6;1;3;3;3;1;6
33805056;2;3;3;2;3;1;5
33805300;3;1;2;2;4;1;3
33806105;4;4;3;2;2;2;4
33807552;5;1;6;2;3;2;4
33807879;3;1;3;2;5;1;5
33810928;4;2;2;3;2;2;4
33812204;5;4;2;3;3;1;5
33815806;1;1;4;2;3;2;5
33833163;4;1;4;3;3;2;4
33833797;11;1;2;1;5;1;3
33833811;7;1;2;2;4;1;5
;;;;;;;